foeAgility,cunning,stability,dodging,volleyGroupID,groupSize,tApplied,dis2Last,dis2Cent,dis2Group,clicked,dodged
11,5,2,1,4,3,4,0.4940402554102238,0.33937894005793895,0.8803134188458385,1,0
11,5,2,1,4,3,11,0.8440082084518031,0.5821729181467991,0.5141141217281576,0,0
11,5,2,1,4,3,4,0.7378013927926502,0.5018151417864338,0.4728968137625619,0,0
11,5,2,1,5,1,11,0.8922070161054979,0.5532082542701268,0,1,0
11,5,2,1,6,2,11,0.1683077288021149,0.45429318197164553,0.45893141075491206,1,0
11,5,2,1,6,2,11,0.6245092818303715,0.38685569748645826,0.45893141075491206,0,0
11,5,2,1,7,2,6,0.8827336135952988,0.43029136856305655,0.040447533889059896,1,1
11,5,2,1,7,2,11,0.8597810779276257,0.41038655643105804,0.040447533889059896,1,0
11,5,2,1,8,1,2,0.12513368473499933,0.4836959201676022,0,1,0
11,5,2,1,9,1,4,0.24026669344550672,0.5453296367803845,0,1,1
11,5,2,1,10,1,9,1.0017769957403928,0.4893856844719617,0,1,0
11,5,2,1,11,1,11,0.1948366552977031,0.44278131781891494,0,1,0
11,5,2,1,12,1,9,0.4577571523771145,0.3950564587655469,0,1,1
11,5,2,1,13,2,4,0.6469824869320071,0.5831685813605046,1.0757894132313046,1,1
11,5,2,1,13,2,11,0.6363408387312441,0.49614838543707007,1.0757894132313046,0,0
11,5,2,1,15,1,4,0.8078974437506897,0.6033737117404503,0,1,0
11,5,2,1,14,2,9,1.0378167249165844,0.5546156363112447,0.7032026135004487,1,0
11,5,2,1,14,2,8,0.5657392447677344,0.447285094052327,0.7032026135004487,0,0
11,5,2,1,14,2,8,0.5657392447677344,0.447285094052327,0.7032026135004487,0,0
5,3,7,3,0,4,2,0.29616816822623615,0.29616816822623615,0.41341586712370154,1,1
5,3,7,3,0,4,6,0.20695895926259109,0.20695895926259109,0.44030036848541254,0,0
5,3,7,3,0,4,6,0.2116704023401766,0.2116704023401766,0.27408663661170357,0,0
5,3,7,3,0,4,6,0.38181413581949236,0.38181413581949236,0.3576887488828547,0,0
5,3,7,3,1,2,6,0.6638172112614351,0.3685688755755105,0.5267809127810893,1,0
5,3,7,3,1,2,6,0.4485591687394076,0.3380960069561644,0.5267809127810893,0,0
5,3,7,3,2,2,6,0.12244485369753204,0.33681558058347083,0.08943659639043722,1,0
5,3,7,3,2,2,4,0.037613806866491545,0.3485233052711796,0.08943659639043722,0,0
5,3,7,3,3,1,6,0.17345760407942382,0.3650404168407676,0,1,1
5,3,7,3,4,2,6,0.6078233510770468,0.24321456164746402,0.43655958335745154,1,1
5,3,7,3,4,2,6,0.5697168948039156,0.38319815882209235,0.43655958335745154,0,0
5,3,7,3,5,2,6,0.4857382788677502,0.24760971299807621,0.40971284710128625,1,0
5,3,7,3,5,2,4,0.3677314198813135,0.33906731260415973,0.40971284710128625,0,0
4,1,3,3,0,2,4,0.5258146310537763,0.5258146310537763,0.5490465754060281,1,0
