foeAgility,cunning,stability,dodging,volleyGroupID,groupSize,tApplied,dis2Last,dis2Cent,dis2Group,opacity,clicked,dodged
4,15,3,3,3,2,6,0.661652736,0.386114732,0.824975738,0.725,0,0
5,2,3,1,0,2,1,0.420535001,0.420535001,0.741778565,0.96,1,0
5,2,3,1,0,2,2,0.49120475,0.49120475,0.741778565,0.894,0,0
5,2,3,1,1,2,1,1.045556198,0.630499689,1.063820533,0.894,1,0
5,2,3,1,1,2,2,0.143969404,0.435420457,1.063820533,0.96,1,0
5,2,3,1,2,2,2,0.148325454,0.400647802,0.825537513,0.96,1,0
5,2,3,1,2,2,1,0.852273028,0.425337562,0.825537513,0.894,0,0
5,2,3,1,3,3,1,0.694853906,0.41691731,0.498480368,0.96,1,0
5,2,3,1,3,3,1,0.588385624,0.397369104,0.789484607,0.894,0,0
5,2,3,1,3,3,2,0.545441072,0.397706146,0.504027902,0.894,0,0
5,2,3,1,4,1,2,0.123292565,0.399101424,0,0.96,1,0
2,3,1,0,0,2,0,0.532544763,0.532544763,0.142051267,0.881,1,0
2,3,1,0,0,2,0,0.498941935,0.498941935,0.142051267,0.96,1,0
2,3,1,0,1,2,0,0.626298517,0.403515409,0.846185771,0.96,1,0
2,3,1,0,1,2,0,0.647527677,0.443922085,0.846185771,0.881,0,0
15,0,1,0,0,3,4,0.557077251,0.557077251,0.429471265,0.96,1,0
15,0,1,0,0,3,4,0.489699449,0.489699449,0.3689045,0.92,0,0
15,0,1,0,0,3,4,0.514572617,0.514572617,0.676180773,0.92,0,0
15,0,1,0,1,5,4,0.851261534,0.62017737,0.74370168,0.92,0,0
15,0,1,0,1,5,4,1.165371781,0.612225569,0.701257662,0.92,0,0
15,0,1,0,1,5,4,0.688925593,0.318317212,0.569672436,0.92,0,0
15,0,1,0,1,5,2,1.058230448,0.509700612,0.647219382,0.92,0,0
15,0,1,0,1,5,4,0.112697781,0.484911918,0.895559882,0.96,0,0
15,0,1,0,1,5,4,0.851261534,0.62017737,0.74370168,0.92,0,0
15,0,1,0,1,5,4,1.165371781,0.612225569,0.701257662,0.92,0,0
15,0,1,0,1,5,4,0.688925593,0.318317212,0.569672436,0.92,0,0
15,0,1,0,1,5,2,1.058230448,0.509700612,0.647219382,0.92,0,0
0,9,3,3,0,1,0,0.52023351,0.52023351,0,0.96,1,1
0,9,3,3,1,1,0,0.024556976,0.541683951,0,0.96,1,0
1,7,7,3,0,1,0,0.346362978,0.346362978,0,0.96,1,1
1,7,7,3,1,1,0,0.418639542,0.165453211,0,0.96,1,1
4,4,3,2,0,3,2,0.478268647,0.478268647,0.874859732,0.868,1,0
4,4,3,2,0,3,1,0.482849766,0.482849766,0.742623511,0.868,1,0
4,4,3,2,0,3,1,0.481208019,0.481208019,0.806552349,0.96,0,0
4,4,3,2,1,3,1,0.619061363,0.387237752,0.417189883,0.868,1,0
4,4,3,2,1,3,2,0.728909711,0.387704719,0.3732957,0.96,1,0
4,4,3,2,1,3,2,0.828238534,0.383117834,0.633710721,0.868,0,0
4,4,3,2,2,2,2,0.188720569,0.546321797,0.109371599,0.868,1,0
